number,value,state,n_neurons,n_hidden_layers,activation,learning_rate,weight_decay,scheduler_gamma,weight_pde,weight_pressure_ref,epochs
22,22.916188239609728,COMPLETE,96,5,gelu,0.0016389826232101892,2.009653805161856e-06,0.9996348374838189,56.69887757253756,21807.30939724285,7000
23,inf,COMPLETE,96,6,gelu,0.0013279904969251393,9.70964538805125e-07,0.9996761115943628,75.15657964810984,18921.869710166222,6000
24,inf,COMPLETE,80,4,gelu,0.001031177279130285,3.0884630073044457e-07,0.9995661094188982,63.71372921036121,23840.20949943957,6500
25,inf,COMPLETE,96,5,gelu,0.001206870932317701,3.982882818040807e-06,0.9995269140473437,54.21274745799194,22508.93515412227,6500
26,inf,COMPLETE,80,6,tanh,0.0014960425792156585,1.1538077336804735e-06,0.999741520143507,45.540315983602206,25345.799471958166,5500
27,inf,COMPLETE,96,5,gelu,0.0020082134079529,6.172253016578053e-06,0.9996254570836868,68.82937647319989,20057.981279380663,7000
28,inf,COMPLETE,96,4,gelu,0.0016962154820375933,1.7832779758819112e-06,0.9996930527983902,84.63016700230693,16866.25186959746,8000
29,inf,COMPLETE,80,4,tanh,0.0026687974435393477,4.7411575554781164e-07,0.9996562447381749,72.44403829996239,18678.7606816026,6000
30,inf,COMPLETE,64,6,gelu,0.001143606362178763,7.092548022753835e-07,0.9996791634219697,76.86206667552221,26897.572145552014,6500
31,inf,COMPLETE,96,5,gelu,0.0021539744080120247,9.177055216098589e-07,0.9997309983060206,51.83852423099223,23393.3511815633,7000
32,inf,COMPLETE,96,5,gelu,0.002241945674906572,2.4929242051976652e-06,0.9995928492681925,65.0844995716702,23224.459469354202,7500
33,inf,COMPLETE,96,5,gelu,0.0018580779291210083,8.462842859980601e-07,0.9997120662125182,59.12253410898708,22089.810898865115,7000
34,inf,COMPLETE,96,4,gelu,0.0029684659053236663,1.2867528075370207e-06,0.9995999029314059,54.567186727933645,21426.083115043522,7500
35,inf,COMPLETE,80,5,tanh,0.002526851089586022,1.6654371718900367e-07,0.9997648095339986,49.065937609057826,20864.56626045613,8000
36,inf,COMPLETE,96,4,gelu,0.0013352106375943715,3.078109823940997e-06,0.9997990252329916,60.62984823577562,27994.744235322392,7500
37,inf,COMPLETE,48,5,gelu,0.0034179633357630987,4.3872881469845876e-07,0.9997325550281587,43.82024287828101,20723.306503662727,7000
38,inf,COMPLETE,80,4,tanh,0.0015696822508631477,1.5989444054069982e-06,0.9996453442319493,67.68537158405377,24917.716313567194,6500
39,22.02766501883625,COMPLETE,96,5,gelu,0.002103940357162554,6.590926619090056e-07,0.9997779763595694,56.28475288959719,17791.78359749777,5500
40,inf,COMPLETE,80,4,gelu,0.004075546547547108,2.757185392253026e-07,0.9997852627650152,72.16994576608396,16009.684328713929,5000
41,22.441438456527546,COMPLETE,96,5,gelu,0.0020117999314745094,2.243878731185976e-06,0.9997573484485278,57.115337180907765,18077.755356449266,5500
42,22.841878144968394,COMPLETE,96,5,gelu,0.002681107473646568,7.028417841969583e-07,0.9997722680378499,41.19456956543282,19185.101186360414,5500
43,inf,COMPLETE,96,5,gelu,0.002234379015837747,1.1611768178249862e-06,0.999746620034744,62.71428229049122,19638.850083000263,5000
44,inf,COMPLETE,96,5,gelu,0.001813892374083438,1.7278727305268093e-07,0.9996153072647836,31.627825467324847,17857.92886889224,6000
45,22.255070555140055,COMPLETE,96,5,gelu,0.002949636071598863,3.6308409393119945e-07,0.9997876158731325,50.89417035433706,15984.662350360357,7500
46,20.431188924917237,COMPLETE,96,6,gelu,0.004461275687728125,3.417860009385921e-07,0.999782401576335,49.64677681887382,16262.522500937426,7500
47,inf,COMPLETE,96,6,gelu,0.004470308149062484,1.8044686330272993e-07,0.9997801243517416,57.19943159070189,17391.44264649503,8000
48,inf,COMPLETE,80,6,gelu,0.003865898104102926,1.3132560405586014e-07,0.9997015188170678,66.50257705803749,16181.860963571015,7500
49,inf,COMPLETE,64,6,tanh,0.0036521433668194056,5.704560402381323e-07,0.9996637328709538,60.653516093994355,17626.13954839625,8000
