strategy,Npde,Nbc,error_u,error_v,error_p
uniform,1000,100,22.525907392849675,26.915642635100298,18.896813730283814
uniform,10000,1000,28.0302320237976,28.01606835735882,19.280701918106136
uniform,100000,10000,26.893002450626415,27.648273521476504,19.206866048186843
lhs,1000,100,26.857446224266965,27.87591189191264,19.208881135665436
lhs,10000,1000,26.117333222492913,27.499244523083803,19.155126747216745
lhs,100000,10000,26.22582382306031,27.59491158835222,19.16992987923897
rad,1000,100,40.325473256776405,31.228020163317833,40.5459014476758
rad,10000,1000,29.612690355831226,29.24224101181906,19.542701804789445
rad,100000,10000,28.822772861528456,28.62724658740561,19.414629293141047
