number,value,state,n_neurons,n_hidden_layers,activation,learning_rate,weight_decay,scheduler_gamma,weight_pde,weight_pressure_ref,epochs
19,22.577796806931175,COMPLETE,96,4,gelu,0.0025250423365569354,5.314706036358207e-07,0.999657928249896,38.019366987729406,23682.8270479995,4000
20,inf,COMPLETE,96,5,gelu,0.0023479873649121163,4.0045407670848803e-07,0.9995851846874227,35.23751879400232,23744.850354395105,4000
21,inf,COMPLETE,96,4,gelu,0.0028382215164712934,1.1450277000344094e-06,0.9996564953786509,51.07561798059233,21150.93535647244,4000
22,inf,COMPLETE,80,4,gelu,0.003365395611976534,5.619017004136088e-07,0.9996797394861874,35.07759804058896,23289.825549281388,4000
23,inf,COMPLETE,96,4,gelu,0.004261951356175196,2.87472632975663e-07,0.9997227218442526,46.35239919185113,26180.524588980803,3500
24,inf,COMPLETE,80,4,gelu,0.002616229152077348,1.458244123544188e-07,0.9996363872009184,58.410826086675144,22651.83241972112,4000
25,inf,COMPLETE,64,5,gelu,0.0021174246782080393,1.0951239497912453e-06,0.999759177683448,34.90249394351894,19786.297638340377,3500
26,inf,COMPLETE,96,4,gelu,0.00338167112680823,2.0247929040415387e-06,0.9997095111650054,47.45363163809282,17179.419016441083,4000
27,inf,COMPLETE,48,4,gelu,0.004342567280063318,6.429831310369199e-07,0.9996726002225168,57.79532883305602,28000.308850051893,3500
28,inf,COMPLETE,80,5,gelu,0.0010623083594504194,9.821006446232444e-07,0.9996352984903374,39.14919289959137,24553.117131219136,4000
29,inf,COMPLETE,96,5,gelu,0.0021114914910720043,2.1819859862871855e-06,0.9997930506462482,72.35796075612795,20659.779532574925,3000
30,inf,COMPLETE,64,4,gelu,0.0031068425873040963,1.9448512293727817e-07,0.9995961475636984,58.787748512796334,22400.876126854055,3500
31,22.75417981842246,COMPLETE,48,4,gelu,0.0036432023022530233,1.5348787592490275e-06,0.9996816200912667,49.73838333468144,20820.53893308084,3500
32,inf,COMPLETE,48,4,gelu,0.0038813755678978336,1.747144340662992e-06,0.9996710871434245,69.80739780459106,21377.880892991325,3500
33,inf,COMPLETE,48,4,gelu,0.003560472056457126,1.3078668244535166e-06,0.999713035092642,48.23640270520805,23470.55683864789,3500
34,inf,COMPLETE,48,4,gelu,0.0043389890297087,4.059588960646969e-06,0.999691878406024,41.17365592384674,18980.525971723288,3500
35,inf,COMPLETE,64,5,tanh,0.001590547184589769,2.638184867566773e-06,0.9996503887710344,31.24889726391648,20428.396415553576,3000
36,inf,COMPLETE,80,4,gelu,0.00272885482628295,5.764471235334075e-07,0.9996229345183059,78.76698777269306,22126.435639086052,4000
37,inf,COMPLETE,80,5,tanh,0.0032049169907796375,3.6321652038226943e-07,0.9997536033021608,37.89955550815988,19375.612150311088,4000
38,inf,COMPLETE,48,6,tanh,0.003981184698781733,9.98268164358206e-07,0.999668599312639,60.03100024342483,22913.27643653799,3500
39,21.59708973282132,COMPLETE,64,4,gelu,0.004639718572132005,1.7048482127922445e-06,0.9997123621532702,68.35954076820289,16818.646072005642,4000
40,inf,COMPLETE,64,4,gelu,0.004580860483365386,3.578705857803755e-06,0.9997376318105009,87.97965360681727,16844.97950952418,4000
41,22.503846871087813,COMPLETE,64,4,gelu,0.0045711484761723235,1.7940842679611184e-06,0.999708764590808,69.0665620631913,15005.690272292879,4000
42,23.059248056634676,COMPLETE,64,4,gelu,0.004977863465121464,2.4975885587900363e-06,0.9997102997583948,66.89992266621981,15438.354236980813,4000
43,inf,COMPLETE,64,4,gelu,0.004535160494586067,1.7666070870317154e-06,0.9997272868350158,74.41680641638968,16331.957852960608,4000
44,inf,COMPLETE,64,4,gelu,0.004096343843851489,1.992941317732236e-06,0.9997550211650711,67.92988087746501,15285.489592393698,4000
45,inf,COMPLETE,80,4,tanh,0.0045680440261918155,5.5855736981268555e-06,0.9996591188960511,63.02864910756287,17205.200274234674,4000
46,22.183393229447073,COMPLETE,80,5,gelu,0.0018886258466447362,7.767460996120062e-07,0.9997036957458423,84.15034232144365,17696.849999336275,4000
47,inf,COMPLETE,80,5,gelu,0.0017727505271734213,8.111681261815273e-07,0.9997016755370259,90.86229498810906,16453.05127758758,4000
48,inf,COMPLETE,80,5,gelu,0.00141636557411187,6.745046744089837e-07,0.9997722127660456,86.37466960765512,17751.184093245975,4000
49,inf,COMPLETE,64,5,tanh,0.00200254394086134,4.933995467046665e-07,0.9997242243325958,97.25315109212717,16039.377415665049,4000
