number,value,state,n_neurons,n_hidden_layers,activation,learning_rate,weight_decay,scheduler_gamma,weight_pde,weight_pressure_ref,epochs
45,inf,COMPLETE,64,6,tanh,0.0038231055572448937,4.695943355031622e-06,0.9995828056332685,84.89533901143828,17384.621519181608,5500
46,inf,COMPLETE,48,6,gelu,0.0014723844419463742,3.018804058293661e-06,0.9996491070567619,70.97193391578213,15650.487428776254,6000
47,inf,COMPLETE,48,6,gelu,0.0018590011120208003,1.8840486112505074e-06,0.9996840079476176,89.08378623694345,16550.355053923115,6000
48,inf,COMPLETE,64,5,gelu,0.0010932738565613326,1.3768004093826283e-06,0.9997964723626215,64.25824648837853,15022.002283240365,5000
49,21.818073536438536,COMPLETE,48,6,gelu,0.0012320762497263621,9.0270208594697e-07,0.99974172258172,81.58554512446204,16996.06168389748,5500
50,inf,COMPLETE,64,6,gelu,0.004277655972973735,6.33866270788545e-06,0.9996138688989556,96.03163333751048,21696.053284536414,6000
51,inf,COMPLETE,48,6,gelu,0.0016999489667898632,2.0860269267367684e-06,0.9996569612598387,71.74303017278237,18324.247592192543,6000
52,23.320964388297288,COMPLETE,48,6,gelu,0.0015521072725148452,2.749977087670311e-06,0.9996699963857958,74.90438900080268,17646.791049536754,6500
53,17.668890909905077,COMPLETE,48,6,gelu,0.0017834604711425984,5.291425845841764e-07,0.9996901505905309,69.7007037184763,15617.547789498354,6000
54,22.053788822881597,COMPLETE,48,6,gelu,0.0020361457519278213,5.412671267809139e-07,0.9996926727315415,67.68401699678469,29472.88009508006,6500
55,21.741170753916634,COMPLETE,48,6,gelu,0.0018594931954623922,1.4207086357279447e-07,0.9997191509476581,58.33541877136007,15663.633788270528,5500
56,inf,COMPLETE,80,5,gelu,0.0024775007517270726,8.464980700999397e-07,0.9997135627963066,77.18424537617253,15913.867435107395,7000
57,inf,COMPLETE,48,6,gelu,0.0013713103406071704,2.301339791358531e-07,0.9996368378538176,86.51043988658209,19138.11970303964,5000
58,inf,COMPLETE,64,5,tanh,0.0015313154495845006,3.8853787115449136e-07,0.9996948790684381,69.04322086767347,16774.837329326834,5500
59,inf,COMPLETE,48,6,gelu,0.0033626337248458785,6.212646679920464e-07,0.9997372807859091,55.32030189251128,20027.261761225454,6000
60,inf,COMPLETE,64,5,gelu,0.0016024597765858582,1.2787340938176386e-06,0.9997068140295216,64.81870285926428,15341.255879947796,6500
61,inf,COMPLETE,48,6,gelu,0.0017392855085397066,1.5433749166481398e-06,0.9996707336451905,70.56272411934178,17788.390236920684,6000
62,inf,COMPLETE,48,6,gelu,0.00170095280591018,3.574741203466264e-06,0.9996578718210057,74.85306031554526,16279.017730521608,6000
63,21.690673085963198,COMPLETE,48,6,gelu,0.0018176394851377863,7.923545525364621e-07,0.9996188912621516,60.27885576744167,17295.099265109442,5500
64,inf,COMPLETE,48,6,gelu,0.0028719397330712842,1.050103570336986e-06,0.9996689326559896,73.40647114332843,18759.3058236047,6000
65,22.36154453054412,COMPLETE,48,6,gelu,0.0019295507756411554,1.8432285698706522e-06,0.9995048577352582,82.49636011088923,15668.776256308554,7000
66,inf,COMPLETE,48,6,gelu,0.0013667136780001522,5.77542565007868e-07,0.9996445258146842,65.85431267049199,16902.841470584055,6500
67,inf,COMPLETE,64,6,gelu,0.0022012819003936522,2.92928451924753e-06,0.9996871615521861,61.75713995453544,18210.143969390778,8000
68,22.455021378479216,COMPLETE,48,5,gelu,0.0016403421255300763,2.3243908971731768e-06,0.9996009935195659,69.76481924639181,15361.49157011547,5000
69,inf,COMPLETE,48,4,tanh,0.002052318905086274,4.6314999550468346e-06,0.999762652621307,77.81716926346404,16237.879268272669,5500
70,22.398323843202856,COMPLETE,64,6,gelu,0.004644241970394386,4.912719889175896e-07,0.9997775909271472,72.5481631860419,20307.91299036158,6000
71,inf,COMPLETE,48,6,gelu,0.0017896642376532168,3.6156738528982e-07,0.9996232108318842,53.938022328886255,17366.09863868583,5500
72,23.379661295392495,COMPLETE,48,6,gelu,0.0023104895879666465,6.93708417531157e-07,0.9996631497073577,62.27558984480402,16673.519569924734,5500
73,22.75314674656205,COMPLETE,48,6,gelu,0.0015014029408849747,1.6484117815529134e-07,0.9996345579744329,66.33973228618416,17365.8253547813,5000
74,22.705812123973175,COMPLETE,48,6,gelu,0.0019492561687635007,2.8161538797840506e-07,0.9996220986471348,49.89259963258977,16059.292443077178,6500
75,21.426223902154657,COMPLETE,48,6,gelu,0.0012752864599853463,8.445656269869334e-07,0.9996481090418265,59.798428068171155,17902.912573612164,6000
76,inf,COMPLETE,48,6,gelu,0.0012222121457978576,1.4386722179823513e-06,0.9996475521023757,59.01942386520601,19215.481857198596,6000
77,inf,COMPLETE,64,6,gelu,0.0012792638978371478,1.1635145501238186e-06,0.9997286214728277,75.56807186019495,17941.664825157713,6000
78,inf,COMPLETE,48,5,gelu,0.0013669835663744823,4.036569668967543e-06,0.9997878211958859,68.24063493517095,15002.067029566038,6500
79,inf,COMPLETE,80,6,gelu,0.0011421308785792145,3.3200462448281602e-06,0.9996779939468966,56.337119166832466,15535.279307610052,6000
80,inf,COMPLETE,48,6,tanh,0.00109071911082828,1.219998740287341e-07,0.9997498805060543,91.8635927491398,15822.16491593218,6000
81,inf,COMPLETE,48,6,gelu,0.0016504163019279176,7.586624872933688e-07,0.9996134989097192,60.09750701219323,18469.834920514466,5500
82,inf,COMPLETE,48,6,gelu,0.0017923387772219325,7.862693874310828e-07,0.9996348196376093,63.558070230270744,17132.676261184533,5500
83,inf,COMPLETE,48,6,gelu,0.0014440284449828223,9.229600092981246e-07,0.9996504442873608,53.463878788614245,16515.849405710203,5000
84,inf,COMPLETE,48,6,gelu,0.0011849860990942828,1.0410546278533632e-06,0.9996019633329641,59.775805709918686,18731.08766279646,6500
85,inf,COMPLETE,48,6,gelu,0.001048695472498496,1.9295507832583954e-06,0.9995819064839525,71.63087668010495,17696.322285439655,6000
86,inf,COMPLETE,48,6,gelu,0.002080405502404834,6.240757646715859e-07,0.9996654518370326,45.109485159974724,19621.67834461936,5500
87,inf,COMPLETE,48,6,gelu,0.0013399361795526329,2.6071525031946253e-06,0.9996170047893657,98.55839044754444,16313.938040062374,7000
88,inf,COMPLETE,48,6,gelu,0.0012711673013685344,5.101707338740949e-07,0.9996529204819055,61.339846717471744,17041.667131283073,6000
89,inf,COMPLETE,64,6,gelu,0.0014130621441146472,4.5381990003813414e-07,0.9997890516868484,83.79304100578463,22298.606493945208,6500
90,inf,COMPLETE,48,6,gelu,0.001587065891241492,8.535491133066407e-07,0.9997616400130345,66.98034783003115,15367.820741282512,5500
91,inf,COMPLETE,48,6,gelu,0.0019183347805560322,1.383477453417929e-07,0.9997158723966488,57.39751234860544,15826.844094741735,5500
92,inf,COMPLETE,48,6,gelu,0.0017171755060822584,2.37781470624171e-07,0.9997222979692937,64.62247495584987,15567.286393652827,5500
93,inf,COMPLETE,48,6,gelu,0.0018596992025303567,2.1303844900191693e-07,0.9997048665271628,51.05703605276203,16707.46165747731,6000
94,inf,COMPLETE,48,6,gelu,0.001511244580284959,1.7792519416780455e-07,0.9996888251156735,63.190684802060524,16010.054499663227,5000
95,inf,COMPLETE,48,6,gelu,0.001993387075577794,1.3336331251705927e-07,0.9997714151783381,58.10898910416017,25285.909704646037,5500
96,22.518805595615007,COMPLETE,48,5,gelu,0.0018442537599688905,2.304980926319292e-06,0.9997449394812619,73.39756505794915,17440.09224117007,6500
97,20.844753053208905,COMPLETE,64,6,gelu,0.002438813387061464,1.5761199472473942e-07,0.9997001819539751,78.80320504615737,18074.45716487148,6000
98,inf,COMPLETE,64,6,tanh,0.0025488598761444227,3.1176362134182617e-07,0.9997015249276435,79.56014877298682,18014.528573064355,6000
99,inf,COMPLETE,64,6,gelu,0.0029941163958042355,1.673609673754755e-06,0.9996774728931138,77.91377471835945,18617.974679926938,6000
